timeStamp,blockReward
1466546192,5.00554828
1466546201,5.0
1466546296,5.019384762
1466546298,5.0
1466546304,5.15625
1466546317,5.0
1466546326,5.0026613
1466546336,5.0074131
1466546342,5.00042
1466546348,5.00042
1466546350,5.0
1466546382,5.0
1466546401,5.0
1466546424,5.00946124
1466546443,5.0021
1466546444,5.0
1466546448,5.0
1466546460,5.00247658
1466546483,5.002577
1466546498,5.00599741
1466546511,5.0
1466546519,5.004430895
1466546523,5.00342036
1466546533,5.0
1466546545,5.00952246
1466546548,5.00315
1466546554,5.0
1466546583,5.0030667
1466546597,5.003149895
1466546620,5.1629
1466546629,5.0
1466546638,5.00287788
1466546641,5.0
1466546649,5.0
1466546664,5.00464846
1466546680,5.0
1466546747,5.020551866
1466546754,5.0
1466546777,5.0
1466546782,5.06541006
1466546785,5.0
1466546789,5.0
1466546865,5.015064413403365848
1466546895,5.001701
1466546948,5.0
1466546962,5.052396310841345422
1466547000,5.16466526
1466547004,5.0
1466547007,5.00317846
1466547020,5.0
1466547030,5.00521278
1466547040,5.001298
1466547059,5.0
1466547086,5.00922698
1466547091,5.0
1466547096,5.00252
1466547097,5.06510094
1466547101,5.00621604
1466547107,5.0
1466547116,5.0
1466547120,5.00770734
1466547129,5.0
1466547132,5.00126
1466547135,5.00084
1466547145,5.00349656
1466547158,5.00481698
1466547182,5.0042
1466547187,5.0021
1466547191,5.0
1466547201,5.0116913
1466547256,5.00838698
1466547264,5.0
1466547270,5.0
1466547273,5.0
1466547290,5.0
1466547307,5.0
1466547309,5.0
1466547332,5.0203086
1466547363,5.00464846
1466547378,5.00732616
1466547384,5.00042
1466547414,5.0
1466547415,5.00897114
1466547421,5.003658726731172152
1466547427,5.01092
1466547433,5.0
1466547437,5.005406251244
1466547446,5.00720572
1466547465,5.00521944
1466547480,5.00975998938
1466547510,5.0
1466547527,5.16395472
1466547555,5.16024
1466547573,5.0
1466547575,5.002961
1466547582,5.00126
1466547596,5.003898682
1466547601,5.001281
1466547619,5.00350254
1466547643,5.01750932
1466547657,5.143534844657267828
1466547681,5.008132
1466547685,5.0
1466547720,5.027337205307674814
1466547723,5.0
1466547744,5.001349976872076
1466547747,5.0
1466547749,5.003833482872817
1466547791,5.0
1466547792,5.009168420870629604
1466547805,5.143534844657267828
1466547828,5.019893054051532584
1466547839,5.000934718381898
1466547848,5.002377882257398328
1466547871,5.02301656861205462
1466547876,5.0
1466547897,5.002881740198149
1466547964,5.0
1466547980,5.0
1466547993,5.0
1466547995,5.0
1466548005,5.068172840522383771
1466548007,5.15625
1466548014,5.00257832
1466548025,5.0
1466548037,5.014993186920951375
1466548045,5.00084
1466548070,5.0
1466548088,5.0
1466548115,5.072745838
1466548157,5.0333973
1466548167,5.0021
1466548170,5.00517014
1466548178,5.00126
1466548201,5.014466102314427786
1466548208,5.0
1466548220,5.143534844657267828
1466548233,5.01505646
1466548236,5.00125144
1466548245,5.0
1466548250,5.010798955571504173
1466548261,5.0
1466548317,5.035813198703817432
1466548344,5.012311625046128792
1466548362,5.006239708432691456
1466548387,5.016905289198529154
1466548421,5.017303046240008433
1466548462,5.0
1466548502,5.0
1466548525,5.0
1466548536,5.051017350118608124
1466548538,5.0951830599548
1466548547,5.001911
1466548554,5.0
1466548558,5.0
1466548591,5.00577032243493
1466548599,5.25025
1466548602,5.1003825420866
1466548612,5.000441220666425
1466548631,5.0
1466548639,5.007728905617188
1466548657,5.2726124964308
1466548665,5.0142973873342162
1466548676,5.0
1466548683,5.0
1466548732,5.003213238071911373
1466548742,5.0
1466548745,5.001474289005
1466548752,5.0
1466548761,5.014006264858227718
1466548770,5.15625
1466548820,5.019164043426264806
1466548873,5.02457737895259092
1466548883,5.0
1466548896,5.024580824229542826
1466548909,5.2731930133964
1466548913,5.001004100594168
1466548932,5.15625
1466548939,5.00706472264299398
1466548941,5.000540633812712
1466548957,5.001524320084682504
1466548972,5.018412131664245926
1466548983,5.000898769348904
1466548995,5.0
1466549015,5.009531778333104474
1466549034,5.00239318191917
1466549036,5.00050113278201
1466549041,5.001006989171195
1466549056,5.001390312852005
1466549065,5.0
1466549076,5.008695817897138842
1466549078,5.000476745207351
1466549086,5.0
1466549093,5.00047392324476
1466549101,5.1025058018901
1466549129,5.0
1466549132,5.018951981982757185
1466549178,5.008399190954542374
1466549186,5.002085755103353387
1466549197,5.002059237214692
1466549202,5.001410281197542
1466549214,5.159221040537052
1466549235,5.004808373024631488
1466549237,5.15625
1466549257,5.012146697557439371
1466549265,5.005486023768505118
1466549291,5.008279863125040305
1466549292,5.0
1466549298,5.0
1466549299,5.000886201136415
1466549334,5.005226457286805665
1466549373,5.00859536036144
1466549375,5.0
1466549379,5.00042
1466549406,5.0
1466549413,5.013555617877323022
1466549431,5.0042809
1466549442,5.00126
1466549453,5.00042
1466549471,5.006671354986
1466549505,5.0
1466549512,5.01139028
1466549515,5.0
1466549543,5.0
1466549554,5.0
